name,company,location,average_salary
Quan Ly Cua Hang Khu Vuc Tay Ninh,Cong ty CP Hasaki Beauty & Clinic,Tay Ninh,12.0
[QUAN 6 - HCM] CHUYEN VIEN TU VAN,Cong Ty Co Phan Anh Ngu Apax,TP HCM,11.5
[HCM - QUAN 4] CHUYEN VIEN TELESALES,Cong Ty Co Phan Anh Ngu Apax,TP HCM,8.0
[Bien Hoa - Dong Nai] Chuyen Vien Tu Van Tai Chinh Cap Cao | Kenh Hop Tac Ngan Hang,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,Dong Nai,14.0
[Quan 10 - HCM] Nhan Vien Tu Van Khoa Hoc,Cong Ty Co Phan Anh Ngu Apax,TP HCM,9.0
"NHAN VIEN KIEM TRA CHAT LUONG (LAM VIEC TAI TAN UYEN, BINH DUONG)",CONG TY CO PHAN STEEL BUILDER,Binh Duong,15.0
[BAC NINH] GIAO VIEN GIANG DAY IELTS PART TIME,Cong Ty Co Phan Anh Ngu Apax,Bac Ninh,20.0
NHAN VIEN GIAO DICH SIEU THI,"Cong Ty TNHH Phan Phoi Tien Tien - Advanced Distribution Co., Ltd. (AD)",TP HCM,9.0
[APAX HA LONG - QUANG NINH] NHAN VIEN TU VAN KHACH HANG,Cong Ty Co Phan Anh Ngu Apax,Quang Ninh,11.5
CHUYEN VIEN HOACH DINH CHINH SACH VAN HANH,Cong Ty Co Phan Anh Ngu Apax,Ha Noi,13.5
[Apax Ha Noi] - Nhan Vien Cham Soc Khach Hang (Co Tieng Anh),Cong Ty Co Phan Anh Ngu Apax,Ha Noi,11.5
[Hai Phong 2-4] Nhan Vien Kinh Doanh,FPT Telecom,Hai Phong,17.5
Chuyen Vien Tu Van Tai Chinh - Kenh Doi Tac Ngan Hang [Long An - TP. Tan An],Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,Long An,16.0
[MSB Tinh Bien] Chuyen Vien Hoach Dinh Tai Chinh -  Kenh Lien Ket Ngan Hang Tai An Giang,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,An Giang,16.0
Chuyen Vien Hoach Dinh Tai Chinh Cap Cao - Kenh Bancassurance [Thanh Hoa],Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,Thanh Hoa,14.0
Chuyen Vien Hoach Dinh Tai Chinh | Lam viec tai SeAbank Nam Dinh,Cong Ty TNHH BHNT Prudential Viet Nam - Bo Phan Hop Tac Kinh Doanh,Nam Dinh,16.0
NHAN VIEN KIEM TRA CHAT LUONG (QC DIMENSION),CONG TY CO PHAN STEEL BUILDER,Ba Ria - Vung Tau,12.0
CHUYEN VIEN NHAN SU TIENG TRUNG,J&T International Logistics,TP HCM,13.0
[Ha Noi] Tong Dai Vien Dich Vu Khach Hang,CONG TY TNHH PHAT TRIEN CONG NGHE DIEN TU BINH ANH,Ha Noi,10.0
Giao Vien Mam Non Song Ngu Quoc Te - Ilo Academy Go Vap,CTY TNHH ILA VIET NAM,TP HCM,10.0
Ky Su Han,CareerLink's Client,Long An,8.5
Giam Sat Ban Hang Da Nang,Cong Ty Co Phan Duoc Pham ECO,Da Nang,13.5
[Kien Giang] Giam Sat/Phu Trach Kinh Doanh Khu Vuc (ASM),TONG CONG TY BAO VIET NHAN THO,Kien Giang,15.0
NHAN VIEN KINH DOANH KENH GIAO HANG TAN NHA - CN BINH PHUOC,Cong Ty TNHH Yakult Viet Nam,Binh Phuoc,11.4
NHAN VIEN KINH DOANH - BAN PHAT TRIEN MIEN TRUNG - CN GIA LAI,Cong Ty TNHH Yakult Viet Nam,Gia Lai,14.5
NHAN VIEN KE TOAN,CONG TY TNHH M.R.O,TP HCM,11.5
CIVIL DESIGNER - TAP DOAN BAT DONG SAN HAN QUOC - HA NOI,Khach hang Cong Ty Phat Trien Nhan Luc HRVALU,Ha Noi,20.0
TRO LY KINH DOANH,CONG TY TNHH M.R.O,TP HCM,12.5
TRUONG PHONG PHAT TRIEN KENH DAI LY PHAN PHOI,CONG TY TNHH M.R.O,TP HCM,32.5
Thuc Tap Sinh Phong Hanh Chanh - Nhan Su,Cong Ty TNHH Thuan Le,TP HCM,2.0
[KOFE] NHAN VIEN KINH DOANH THI TRUONG,CONG TY TNHH AB BEAUTY WORLD,TP HCM,10.75
QUAN LY CUA HANG (Store Manager),Cong Ty TNHH Thuan Le,TP HCM,12.5
Sales Online - Telesales (Lam Viec Tai Van Phong Quan 1),Cong Ty TNHH Thuan Le,TP HCM,8.5
[AB DENTAL] NHAN VIEN IT WEB,CONG TY TNHH AB BEAUTY WORLD,TP HCM,15.0
Nhan Vien Le Tan,Cong Ty TNHH Becamex Tokyu,Binh Duong,8.0
Nhan Vien Mua Hang Nuoc Ngoai  (Co Xe Dua Don),Cong ty Co phan Nguyen Lieu Thuc Pham A Chau Sai Gon,Binh Duong,23.4
Nhan Vien QA,Cong Ty TNHH Di Dai Hung,TP HCM,15.0
Thu Kho Thanh Pham,Cong Ty TNHH Di Dai Hung,TP HCM,12.5
Nhan Vien Thu Ngan,Cong Ty TNHH Becamex Tokyu,Binh Duong,8.0
Sale Engineer,Cong Ty TNHH Di Dai Hung,TP HCM,16.0
Nhan Vien Digital Marketing,Cong ty Co phan Nguyen Lieu Thuc Pham A Chau Sai Gon,TP HCM,13.5
